Release Period,State,Facility ID,Completed Surveys,Response Rate (%)
07_2015,NC,340087,300 or more,36
07_2015,NC,340090,300 or more,29
07_2015,NC,340091,300 or more,27
07_2015,NC,340096,300 or more,20
07_2015,NC,340097,300 or more,28
07_2015,NC,340098,300 or more,28
07_2015,NC,340099,300 or more,28
07_2015,NC,340106,Between 100 and 299,20
07_2015,NC,340107,300 or more,31
07_2015,NC,340109,300 or more,27
07_2015,NC,340113,300 or more,25
07_2015,NC,340114,300 or more,32
07_2015,NC,340115,300 or more,32
07_2015,NC,340116,300 or more,47
07_2015,NC,340119,Between 100 and 299,23
07_2015,NC,340120,300 or more,29
07_2015,NC,340123,300 or more,23
07_2015,NC,340126,300 or more,33
07_2015,NC,340127,300 or more,27
07_2015,NC,340129,300 or more,31
07_2015,NC,340130,300 or more,23
07_2015,NC,340131,300 or more,32
07_2015,NC,340132,300 or more,30
07_2015,NC,340133,Between 100 and 299,30
07_2015,NC,340141,300 or more,38
07_2015,NC,340142,300 or more,31
07_2015,NC,340143,300 or more,27
07_2015,NC,340144,300 or more,23
07_2015,NC,340145,300 or more,24
07_2015,NC,340147,300 or more,31
07_2015,NC,340148,300 or more,43
07_2015,NC,340151,300 or more,33
07_2015,NC,340153,Not Available,Not Available
07_2015,NC,340155,300 or more,29
07_2015,NC,340156,Fewer than 100,16
07_2015,NC,340158,300 or more,27
07_2015,NC,340159,300 or more,33
07_2015,NC,340160,300 or more,26
07_2015,NC,340166,300 or more,22
07_2015,NC,340171,300 or more,27
07_2015,NC,340173,300 or more,34
07_2015,NC,340183,300 or more,27
07_2015,NC,340184,300 or more,35
07_2015,NC,340186,300 or more,33
07_2015,NC,340187,Not Available,Not Available
07_2015,NC,341302,Not Available,Not Available
07_2015,NC,341303,Not Available,Not Available
07_2015,NC,341304,Fewer than 100,36
07_2015,NC,341305,Not Available,Not Available
07_2015,NC,341307,Between 100 and 299,25
07_2015,NC,341308,Not Available,Not Available
07_2015,NC,341311,Between 100 and 299,23
07_2015,NC,341314,Not Available,Not Available
07_2015,NC,341315,Not Available,Not Available
07_2015,NC,341316,Not Available,Not Available
07_2015,NC,341317,Fewer than 100,21
07_2015,NC,341318,300 or more,33
07_2015,NC,341319,300 or more,38
07_2015,NC,341320,Fewer than 100,26
07_2015,NC,341322,Between 100 and 299,41
07_2015,NC,341323,Not Available,Not Available
07_2015,NC,341324,Between 100 and 299,31
07_2015,NC,341325,Between 100 and 299,29
07_2015,NC,341326,300 or more,34
07_2015,NC,341327,300 or more,40
07_2015,ND,350002,300 or more,32
07_2015,ND,350006,300 or more,30
07_2015,ND,350011,300 or more,37
07_2015,ND,350015,300 or more,27
07_2015,ND,350019,300 or more,35
07_2015,ND,350063,Not Available,Not Available
07_2015,ND,350064,Not Available,Not Available
07_2015,ND,350070,300 or more,39
07_2015,ND,351300,Fewer than 100,24
07_2015,ND,351301,Not Available,Not Available
07_2015,ND,351302,Fewer than 100,22
07_2015,ND,351303,Fewer than 100,39
07_2015,ND,351304,Not Available,Not Available
07_2015,ND,351305,Not Available,Not Available
07_2015,ND,351306,Fewer than 100,45
07_2015,ND,351307,Fewer than 100,48
07_2015,ND,351308,Fewer than 100,36
07_2015,ND,351309,Fewer than 100,45
07_2015,ND,351310,Fewer than 100,38
07_2015,ND,351311,Not Available,Not Available
07_2015,ND,351312,Not Available,Not Available
07_2015,ND,351313,Fewer than 100,53
07_2015,ND,351314,Not Available,Not Available
07_2015,ND,351315,Not Available,Not Available
07_2015,ND,351316,Fewer than 100,21
07_2015,ND,351318,Fewer than 100,26
07_2015,ND,351319,Fewer than 100,35
07_2015,ND,351320,Fewer than 100,31
07_2015,ND,351321,Fewer than 100,45
07_2015,ND,351322,Fewer than 100,32
07_2015,ND,351323,Between 100 and 299,42
07_2015,ND,351324,Fewer than 100,34
07_2015,ND,351325,Fewer than 100,31
07_2015,ND,351326,Fewer than 100,43
07_2015,ND,351327,Fewer than 100,41
07_2015,ND,351328,Fewer than 100,58
07_2015,ND,351329,Fewer than 100,32
07_2015,ND,351330,Between 100 and 299,46
07_2015,ND,351331,Fewer than 100,40
07_2015,ND,351332,Fewer than 100,38
07_2015,ND,351333,Not Available,Not Available
07_2015,ND,351334,300 or more,24
07_2015,ND,351335,Between 100 and 299,34
07_2015,ND,351336,Between 100 and 299,22
07_2015,OH,360001,300 or more,31
07_2015,OH,360002,300 or more,41
07_2015,OH,360003,300 or more,21
07_2015,OH,360006,300 or more,34
07_2015,OH,360008,300 or more,31
07_2015,OH,360009,300 or more,28
07_2015,OH,360010,300 or more,34
07_2015,OH,360011,300 or more,29
07_2015,OH,360012,300 or more,29
07_2015,OH,360013,300 or more,29
07_2015,OH,360014,300 or more,20
07_2015,OH,360016,300 or more,30
07_2015,OH,360017,300 or more,23
07_2015,OH,360019,300 or more,30
07_2015,OH,360020,300 or more,26
07_2015,OH,360025,300 or more,33
07_2015,OH,360026,300 or more,28
07_2015,OH,360027,300 or more,29
07_2015,OH,360029,300 or more,31
07_2015,OH,360032,300 or more,32
07_2015,OH,360035,300 or more,31
07_2015,OH,360036,300 or more,36
07_2015,OH,360037,300 or more,25
07_2015,OH,360039,300 or more,27
07_2015,OH,360040,300 or more,31
07_2015,OH,360041,300 or more,36
07_2015,OH,360044,300 or more,32
07_2015,OH,360046,300 or more,32
07_2015,OH,360048,300 or more,27
07_2015,OH,360051,300 or more,26
07_2015,OH,360052,300 or more,28
07_2015,OH,360054,300 or more,22
07_2015,OH,360055,300 or more,31
07_2015,OH,360056,300 or more,30
07_2015,OH,360058,300 or more,49
07_2015,OH,360059,300 or more,18
07_2015,OH,360064,300 or more,32
07_2015,OH,360065,300 or more,31
07_2015,OH,360066,300 or more,33
07_2015,OH,360068,300 or more,36
07_2015,OH,360070,300 or more,27
07_2015,OH,360071,300 or more,42
07_2015,OH,360072,300 or more,33
07_2015,OH,360074,300 or more,34
07_2015,OH,360075,300 or more,23
07_2015,OH,360076,300 or more,25
07_2015,OH,360077,300 or more,29
07_2015,OH,360078,300 or more,29
07_2015,OH,360079,300 or more,34
07_2015,OH,360080,300 or more,27
07_2015,OH,360081,300 or more,28
07_2015,OH,360082,300 or more,34
07_2015,OH,360084,300 or more,36
07_2015,OH,360085,300 or more,26
07_2015,OH,360086,300 or more,24
07_2015,OH,360087,300 or more,33
07_2015,OH,360089,300 or more,38
07_2015,OH,360090,300 or more,35
07_2015,OH,360091,300 or more,36
07_2015,OH,360092,300 or more,29
07_2015,OH,360095,300 or more,35
07_2015,OH,360096,300 or more,19
07_2015,OH,360098,300 or more,35
07_2015,OH,360107,300 or more,29
07_2015,OH,360109,300 or more,30
07_2015,OH,360112,300 or more,26
07_2015,OH,360116,Between 100 and 299,23
07_2015,OH,360118,300 or more,29
07_2015,OH,360121,300 or more,41
07_2015,OH,360123,300 or more,35
07_2015,OH,360125,300 or more,24
07_2015,OH,360131,300 or more,33
07_2015,OH,360132,300 or more,22
07_2015,OH,360133,300 or more,25
07_2015,OH,360134,300 or more,28
07_2015,OH,360137,300 or more,24
07_2015,OH,360141,300 or more,31
07_2015,OH,360143,300 or more,29
07_2015,OH,360144,300 or more,19
07_2015,OH,360145,300 or more,29
07_2015,OH,360147,300 or more,28
07_2015,OH,360148,300 or more,53
07_2015,OH,360150,300 or more,33
07_2015,OH,360151,300 or more,34
07_2015,OH,360152,300 or more,19
07_2015,OH,360153,Fewer than 100,32
07_2015,OH,360155,300 or more,38
07_2015,OH,360156,Between 100 and 299,24
07_2015,OH,360159,300 or more,27
07_2015,OH,360161,300 or more,31
07_2015,OH,360163,300 or more,38
07_2015,OH,360170,300 or more,29
07_2015,OH,360172,300 or more,27
07_2015,OH,360174,300 or more,31
07_2015,OH,360175,300 or more,28
07_2015,OH,360179,300 or more,28
07_2015,OH,360180,300 or more,34
07_2015,OH,360185,300 or more,35
07_2015,OH,360189,Between 100 and 299,29
07_2015,OH,360192,300 or more,36
07_2015,OH,360195,300 or more,31
07_2015,OH,360197,Between 100 and 299,29
07_2015,OH,360203,300 or more,30
07_2015,OH,360210,300 or more,32
07_2015,OH,360211,300 or more,27
07_2015,OH,360212,300 or more,25
07_2015,OH,360218,300 or more,31
07_2015,OH,360230,300 or more,33
07_2015,OH,360234,300 or more,31
07_2015,OH,360236,300 or more,27
07_2015,OH,360239,300 or more,29
07_2015,OH,360241,Not Available,Not Available
07_2015,OH,360242,300 or more,30
07_2015,OH,360245,Not Available,Not Available
07_2015,OH,360259,300 or more,37
07_2015,OH,360261,Fewer than 100,58
07_2015,OH,360262,300 or more,33
07_2015,OH,360263,300 or more,70
07_2015,OH,360266,300 or more,58
07_2015,OH,360270,300 or more,40
07_2015,OH,360274,Between 100 and 299,49
07_2015,OH,360276,300 or more,35
07_2015,OH,360348,300 or more,40
07_2015,OH,360351,300 or more,55
07_2015,OH,360352,300 or more,74
07_2015,OH,360354,300 or more,34
07_2015,OH,360355,300 or more,41
07_2015,OH,360358,Fewer than 100,31
07_2015,OH,360359,300 or more,37
07_2015,OH,360360,300 or more,27
07_2015,OH,360361,Fewer than 100,43
07_2015,OH,360362,300 or more,64
07_2015,OH,361300,Fewer than 100,44
07_2015,OH,361301,Between 100 and 299,36
07_2015,OH,361302,Fewer than 100,35
07_2015,OH,361303,Fewer than 100,25
07_2015,OH,361305,Fewer than 100,30
07_2015,OH,361306,Between 100 and 299,41
07_2015,OH,361307,Between 100 and 299,32
07_2015,OH,361308,Between 100 and 299,46
07_2015,OH,361309,Between 100 and 299,37
07_2015,OH,361310,Between 100 and 299,40
07_2015,OH,361311,Not Available,Not Available
07_2015,OH,361312,Between 100 and 299,31
07_2015,OH,361313,Between 100 and 299,31
07_2015,OH,361314,300 or more,40
07_2015,OH,361315,Between 100 and 299,34
07_2015,OH,361316,Between 100 and 299,35
07_2015,OH,361318,Between 100 and 299,31
07_2015,OH,361319,Between 100 and 299,42
07_2015,OH,361320,Between 100 and 299,32
07_2015,OH,361321,Between 100 and 299,40
07_2015,OH,361322,Between 100 and 299,37
07_2015,OH,361323,Between 100 and 299,43
07_2015,OH,361324,Between 100 and 299,35
07_2015,OH,361325,300 or more,34
07_2015,OH,361326,Between 100 and 299,24
07_2015,OH,361327,Not Available,Not Available
07_2015,OH,361328,300 or more,36
07_2015,OH,361329,Between 100 and 299,32
07_2015,OH,361330,Between 100 and 299,35
07_2015,OH,361331,Between 100 and 299,25
07_2015,OH,361332,Between 100 and 299,21
07_2015,OH,361333,300 or more,36
07_2015,OH,361334,Fewer than 100,25
07_2015,OK,370001,300 or more,33
07_2015,OK,370002,Between 100 and 299,30
07_2015,OK,370004,Between 100 and 299,19
07_2015,OK,370006,300 or more,28
07_2015,OK,370007,Fewer than 100,22
07_2015,OK,370008,300 or more,30
07_2015,OK,370011,Fewer than 100,33
07_2015,OK,370013,300 or more,30
07_2015,OK,370014,300 or more,21
07_2015,OK,370015,Between 100 and 299,30
07_2015,OK,370016,300 or more,24
07_2015,OK,370018,300 or more,29
07_2015,OK,370019,300 or more,24
07_2015,OK,370020,300 or more,31
07_2015,OK,370022,300 or more,24
07_2015,OK,370023,300 or more,28
07_2015,OK,370025,300 or more,30
07_2015,OK,370026,300 or more,33
07_2015,OK,370028,300 or more,26
07_2015,OK,370029,Between 100 and 299,21
07_2015,OK,370030,Between 100 and 299,25
07_2015,OK,370032,300 or more,28
07_2015,OK,370034,300 or more,31
07_2015,OK,370036,Fewer than 100,17
07_2015,OK,370037,300 or more,25
07_2015,OK,370039,300 or more,27
07_2015,OK,370040,Between 100 and 299,23
07_2015,OK,370041,Fewer than 100,24
07_2015,OK,370047,300 or more,33
07_2015,OK,370048,Between 100 and 299,14
07_2015,OK,370049,300 or more,26
07_2015,OK,370051,Fewer than 100,31
07_2015,OK,370054,Between 100 and 299,24
07_2015,OK,370056,300 or more,23
07_2015,OK,370057,Between 100 and 299,29
07_2015,OK,370065,Between 100 and 299,24
07_2015,OK,370072,Fewer than 100,22
07_2015,OK,370078,300 or more,19
07_2015,OK,370080,Fewer than 100,32
07_2015,OK,370083,Fewer than 100,19
07_2015,OK,370089,300 or more,27
07_2015,OK,370091,300 or more,30
07_2015,OK,370093,300 or more,32
07_2015,OK,370094,300 or more,21
07_2015,OK,370097,300 or more,29
07_2015,OK,370099,300 or more,28
07_2015,OK,370100,Between 100 and 299,18
07_2015,OK,370103,Fewer than 100,28
07_2015,OK,370106,300 or more,19
07_2015,OK,370112,Between 100 and 299,34
07_2015,OK,370113,300 or more,23
07_2015,OK,370114,300 or more,27
07_2015,OK,370138,Between 100 and 299,27
07_2015,OK,370139,Fewer than 100,32
07_2015,OK,370149,300 or more,25
07_2015,OK,370153,Between 100 and 299,24
07_2015,OK,370156,Fewer than 100,32
07_2015,OK,370158,Between 100 and 299,29
07_2015,OK,370166,Between 100 and 299,29
07_2015,OK,370169,Fewer than 100,34
07_2015,OK,370170,Fewer than 100,19
07_2015,OK,370171,300 or more,22
07_2015,OK,370172,Between 100 and 299,28
07_2015,OK,370173,Between 100 and 299,25
07_2015,OK,370178,Between 100 and 299,27
07_2015,OK,370180,300 or more,23
07_2015,OK,370183,Fewer than 100,26
07_2015,OK,370190,Between 100 and 299,29
07_2015,OK,370192,Fewer than 100,42
07_2015,OK,370199,Between 100 and 299,21
07_2015,OK,370201,Fewer than 100,28
07_2015,OK,370202,300 or more,30
07_2015,OK,370203,300 or more,35
07_2015,OK,370206,300 or more,39
07_2015,OK,370210,300 or more,46
07_2015,OK,370211,300 or more,25
07_2015,OK,370212,300 or more,49
07_2015,OK,370214,Not Available,Not Available
07_2015,OK,370215,300 or more,44
07_2015,OK,370216,300 or more,48
07_2015,OK,370218,300 or more,32
07_2015,OK,370220,Fewer than 100,49
07_2015,OK,370222,300 or more,56
07_2015,OK,370225,Fewer than 100,38
07_2015,OK,370227,300 or more,30
07_2015,OK,370228,300 or more,33
07_2015,OK,370229,Between 100 and 299,27
07_2015,OK,370233,Fewer than 100,47
07_2015,OK,370234,300 or more,35
07_2015,OK,370235,300 or more,44
07_2015,OK,370236,300 or more,31
07_2015,OK,371300,Fewer than 100,18
07_2015,OK,371301,Not Available,Not Available
07_2015,OK,371302,Not Available,Not Available
07_2015,OK,371303,Fewer than 100,42
07_2015,OK,371304,Not Available,Not Available
07_2015,OK,371305,Not Available,Not Available
07_2015,OK,371306,Fewer than 100,19
07_2015,OK,371307,Not Available,Not Available
07_2015,OK,371309,Not Available,Not Available
07_2015,OK,371310,Not Available,Not Available
07_2015,OK,371311,Fewer than 100,24
07_2015,OK,371312,Not Available,Not Available
07_2015,OK,371313,Fewer than 100,28
07_2015,OK,371314,Not Available,Not Available
07_2015,OK,371316,Not Available,Not Available
07_2015,OK,371317,Fewer than 100,35
07_2015,OK,371318,Not Available,Not Available
07_2015,OK,371319,Not Available,Not Available
07_2015,OK,371320,Not Available,Not Available
07_2015,OK,371321,Fewer than 100,34
07_2015,OK,371322,Not Available,Not Available
07_2015,OK,371323,Not Available,Not Available
07_2015,OK,371324,Fewer than 100,31
07_2015,OK,371325,Fewer than 100,35
07_2015,OK,371326,Fewer than 100,24
07_2015,OK,371327,Fewer than 100,29
07_2015,OK,371328,Between 100 and 299,39
07_2015,OK,371329,Not Available,Not Available
07_2015,OK,371330,Not Available,Not Available
07_2015,OK,371331,Not Available,Not Available
07_2015,OK,371332,Not Available,Not Available
07_2015,OK,371333,Not Available,Not Available
07_2015,OK,371334,Not Available,Not Available
07_2015,OK,371335,Not Available,Not Available
07_2015,OR,380001,300 or more,29
07_2015,OR,380002,300 or more,35
07_2015,OR,380004,300 or more,35
07_2015,OR,380005,300 or more,38
07_2015,OR,380007,300 or more,24
07_2015,OR,380009,300 or more,31
07_2015,OR,380014,300 or more,33
07_2015,OR,380017,300 or more,29
07_2015,OR,380018,300 or more,37
07_2015,OR,380020,300 or more,36
07_2015,OR,380021,300 or more,30
07_2015,OR,380022,300 or more,29
07_2015,OR,380025,300 or more,26
07_2015,OR,380027,300 or more,32
07_2015,OR,380029,300 or more,27
07_2015,OR,380033,Between 100 and 299,27
07_2015,OR,380037,300 or more,34
07_2015,OR,380038,300 or more,30
07_2015,OR,380040,300 or more,32
07_2015,OR,380047,300 or more,40
07_2015,OR,380050,300 or more,28
07_2015,OR,380051,300 or more,32
07_2015,OR,380052,300 or more,32
07_2015,OR,380056,Between 100 and 299,32
07_2015,OR,380060,300 or more,30
07_2015,OR,380061,300 or more,31
07_2015,OR,380071,300 or more,30
07_2015,OR,380075,300 or more,31
07_2015,OR,380082,300 or more,31
07_2015,OR,380089,300 or more,29
07_2015,OR,380090,300 or more,31
07_2015,OR,380091,300 or more,33
07_2015,OR,380102,300 or more,36
07_2015,OR,380103,300 or more,40
07_2015,OR,381301,Fewer than 100,35
07_2015,OR,381302,Between 100 and 299,26
07_2015,OR,381303,Between 100 and 299,28
07_2015,OR,381304,Fewer than 100,38
07_2015,OR,381305,Fewer than 100,38
07_2015,OR,381306,Between 100 and 299,45
07_2015,OR,381307,Not Available,Not Available
07_2015,OR,381308,Fewer than 100,42
07_2015,OR,381309,Fewer than 100,31
07_2015,OR,381310,Fewer than 100,21
07_2015,OR,381311,Fewer than 100,43
07_2015,OR,381312,Fewer than 100,34
07_2015,OR,381313,Between 100 and 299,29
07_2015,OR,381314,Between 100 and 299,27
07_2015,OR,381315,Between 100 and 299,31
07_2015,OR,381316,Between 100 and 299,41
07_2015,OR,381317,Between 100 and 299,31
07_2015,OR,381318,300 or more,30
07_2015,OR,381319,Not Available,Not Available
07_2015,OR,381320,300 or more,29
07_2015,OR,381321,Not Available,Not Available
07_2015,OR,381322,Fewer than 100,25
07_2015,OR,381323,300 or more,26
07_2015,OR,381324,Fewer than 100,17
07_2015,OR,381325,Between 100 and 299,26
07_2015,PA,390001,300 or more,37
07_2015,PA,390002,300 or more,30
07_2015,PA,390003,300 or more,39
07_2015,PA,390004,300 or more,34
07_2015,PA,390006,300 or more,38
07_2015,PA,390008,300 or more,39
07_2015,PA,390009,300 or more,37
07_2015,PA,390012,300 or more,41
07_2015,PA,390013,300 or more,46
07_2015,PA,390016,300 or more,32
07_2015,PA,390019,300 or more,33
07_2015,PA,390025,Not Available,Not Available
07_2015,PA,390026,300 or more,26
07_2015,PA,390027,300 or more,15
07_2015,PA,390028,300 or more,31
07_2015,PA,390030,300 or more,32
07_2015,PA,390031,300 or more,38
07_2015,PA,390032,300 or more,36
07_2015,PA,390035,300 or more,36
07_2015,PA,390036,300 or more,36
07_2015,PA,390037,300 or more,42
07_2015,PA,390039,300 or more,38
07_2015,PA,390041,300 or more,26
07_2015,PA,390042,300 or more,36
07_2015,PA,390043,300 or more,40
07_2015,PA,390044,300 or more,36
07_2015,PA,390045,300 or more,37
07_2015,PA,390046,300 or more,31
07_2015,PA,390048,300 or more,30
07_2015,PA,390049,300 or more,36
07_2015,PA,390050,300 or more,37
07_2015,PA,390052,300 or more,38
07_2015,PA,390056,300 or more,32
07_2015,PA,390057,300 or more,34
07_2015,PA,390058,300 or more,42
07_2015,PA,390061,300 or more,39
07_2015,PA,390062,300 or more,49
07_2015,PA,390063,300 or more,35
07_2015,PA,390065,300 or more,33
07_2015,PA,390066,300 or more,37
07_2015,PA,390067,300 or more,38
07_2015,PA,390068,300 or more,36
07_2015,PA,390070,300 or more,21
07_2015,PA,390071,Between 100 and 299,35
07_2015,PA,390072,300 or more,34
07_2015,PA,390073,300 or more,38
07_2015,PA,390076,300 or more,31
07_2015,PA,390079,300 or more,33
07_2015,PA,390080,300 or more,29
07_2015,PA,390081,300 or more,23
07_2015,PA,390084,Between 100 and 299,39
07_2015,PA,390086,300 or more,38
07_2015,PA,390090,300 or more,31
07_2015,PA,390091,300 or more,36
07_2015,PA,390093,300 or more,36
07_2015,PA,390096,300 or more,32
07_2015,PA,390097,300 or more,30
07_2015,PA,390100,300 or more,40
07_2015,PA,390101,300 or more,31
07_2015,PA,390102,300 or more,43
07_2015,PA,390104,Between 100 and 299,27
07_2015,PA,390107,300 or more,47
07_2015,PA,390110,300 or more,41
07_2015,PA,390111,300 or more,26
07_2015,PA,390112,300 or more,46
07_2015,PA,390113,300 or more,39
07_2015,PA,390114,300 or more,34
07_2015,PA,390115,300 or more,26
07_2015,PA,390116,300 or more,26
07_2015,PA,390117,300 or more,38
07_2015,PA,390118,300 or more,30
07_2015,PA,390119,300 or more,28
07_2015,PA,390123,300 or more,26
07_2015,PA,390125,300 or more,36
07_2015,PA,390127,300 or more,30
07_2015,PA,390130,Between 100 and 299,43
07_2015,PA,390132,300 or more,24
07_2015,PA,390133,300 or more,35
07_2015,PA,390137,300 or more,33
07_2015,PA,390138,300 or more,34
07_2015,PA,390139,300 or more,36
07_2015,PA,390142,300 or more,12
07_2015,PA,390145,300 or more,39
07_2015,PA,390146,300 or more,37
07_2015,PA,390147,300 or more,36
07_2015,PA,390150,Between 100 and 299,31
07_2015,PA,390151,300 or more,33
07_2015,PA,390153,300 or more,36
07_2015,PA,390154,300 or more,35
07_2015,PA,390156,300 or more,16
07_2015,PA,390157,300 or more,29
07_2015,PA,390160,300 or more,37
07_2015,PA,390162,300 or more,32
07_2015,PA,390163,300 or more,38
07_2015,PA,390164,300 or more,35
07_2015,PA,390168,300 or more,33
07_2015,PA,390173,300 or more,39
07_2015,PA,390174,300 or more,29
07_2015,PA,390178,300 or more,36
07_2015,PA,390179,300 or more,34
07_2015,PA,390180,300 or more,23
07_2015,PA,390183,300 or more,38
07_2015,PA,390184,300 or more,27
07_2015,PA,390185,300 or more,28
07_2015,PA,390192,Between 100 and 299,34
07_2015,PA,390194,300 or more,31
07_2015,PA,390195,300 or more,29
07_2015,PA,390197,300 or more,24
07_2015,PA,390198,300 or more,25
07_2015,PA,390199,300 or more,42
07_2015,PA,390201,300 or more,28
07_2015,PA,390203,300 or more,41
07_2015,PA,390204,300 or more,26
07_2015,PA,390211,300 or more,37
07_2015,PA,390217,300 or more,38
07_2015,PA,390219,300 or more,40
07_2015,PA,390220,300 or more,33
07_2015,PA,390222,300 or more,35
07_2015,PA,390223,300 or more,31
07_2015,PA,390225,300 or more,47
07_2015,PA,390226,300 or more,28
07_2015,PA,390228,300 or more,40
07_2015,PA,390231,300 or more,35
07_2015,PA,390233,300 or more,41
07_2015,PA,390236,Between 100 and 299,38
07_2015,PA,390237,300 or more,36
07_2015,PA,390256,300 or more,35
07_2015,PA,390258,300 or more,35
07_2015,PA,390263,300 or more,35
07_2015,PA,390265,300 or more,39
07_2015,PA,390266,300 or more,37
07_2015,PA,390267,300 or more,35
07_2015,PA,390268,300 or more,41
07_2015,PA,390270,300 or more,36
07_2015,PA,390272,Not Available,Not Available
07_2015,PA,390278,Not Available,Not Available
07_2015,PA,390290,300 or more,33
07_2015,PA,390304,300 or more,21
07_2015,PA,390307,Fewer than 100,64
07_2015,PA,390312,Between 100 and 299,25
07_2015,PA,390314,300 or more,63
07_2015,PA,390316,300 or more,76
07_2015,PA,390321,300 or more,58
07_2015,PA,390322,300 or more,69
07_2015,PA,390323,Between 100 and 299,79
07_2015,PA,390324,300 or more,72
07_2015,PA,390325,300 or more,68
07_2015,PA,390326,300 or more,41
07_2015,PA,390327,300 or more,61
07_2015,PA,390328,300 or more,37
07_2015,PA,390329,300 or more,31
07_2015,PA,391300,300 or more,41
07_2015,PA,391301,Between 100 and 299,45
07_2015,PA,391302,Fewer than 100,44
07_2015,PA,391303,Between 100 and 299,31
07_2015,PA,391304,Not Available,Not Available
07_2015,PA,391305,Between 100 and 299,38
07_2015,PA,391306,300 or more,37
07_2015,PA,391307,Between 100 and 299,53
07_2015,PA,391308,Between 100 and 299,31
07_2015,PA,391309,Between 100 and 299,36
07_2015,PA,391312,Between 100 and 299,37
07_2015,PA,391313,300 or more,37
07_2015,PA,393302,Not Available,Not Available
07_2015,PA,393303,Not Available,Not Available
07_2015,PR,400001,Not Available,Not Available
07_2015,PR,400003,Not Available,Not Available
07_2015,PR,400004,Not Available,Not Available
07_2015,PR,400005,Not Available,Not Available
07_2015,PR,400006,Not Available,Not Available
07_2015,PR,400007,Not Available,Not Available
07_2015,PR,400009,Not Available,Not Available
07_2015,PR,400010,Not Available,Not Available
07_2015,PR,400011,Not Available,Not Available
07_2015,PR,400012,Not Available,Not Available
07_2015,PR,400013,Not Available,Not Available
07_2015,PR,400014,Not Available,Not Available
07_2015,PR,400015,Not Available,Not Available
07_2015,PR,400016,Not Available,Not Available
07_2015,PR,400018,Not Available,Not Available
07_2015,PR,400019,Not Available,Not Available
07_2015,PR,400021,Not Available,Not Available
07_2015,PR,400022,Not Available,Not Available
07_2015,PR,400026,Not Available,Not Available
07_2015,PR,400032,Not Available,Not Available
07_2015,PR,400044,Not Available,Not Available
07_2015,PR,400048,Not Available,Not Available
07_2015,PR,400061,Not Available,Not Available
07_2015,PR,400079,Not Available,Not Available
07_2015,PR,400087,Not Available,Not Available
07_2015,PR,400098,Not Available,Not Available
07_2015,PR,400102,Not Available,Not Available
07_2015,PR,400103,Not Available,Not Available
07_2015,PR,400104,Not Available,Not Available
07_2015,PR,400105,Not Available,Not Available
07_2015,PR,400106,Not Available,Not Available
07_2015,PR,400109,Not Available,Not Available
07_2015,PR,400110,Not Available,Not Available
07_2015,PR,400111,Not Available,Not Available
07_2015,PR,400112,Not Available,Not Available
07_2015,PR,400113,Not Available,Not Available
07_2015,PR,400114,Not Available,Not Available
07_2015,PR,400115,Not Available,Not Available
07_2015,PR,400117,Not Available,Not Available
07_2015,PR,400118,Not Available,Not Available
07_2015,PR,400120,Not Available,Not Available
07_2015,PR,400121,Not Available,Not Available
07_2015,PR,400123,Not Available,Not Available
07_2015,PR,400124,Not Available,Not Available
07_2015,PR,400125,Not Available,Not Available
07_2015,PR,400126,Not Available,Not Available
07_2015,PR,400127,Not Available,Not Available
07_2015,PR,400128,Not Available,Not Available
07_2015,PR,400130,Not Available,Not Available
07_2015,RI,410001,300 or more,24
07_2015,RI,410004,300 or more,30
07_2015,RI,410005,300 or more,35
07_2015,RI,410006,300 or more,34
07_2015,RI,410007,300 or more,27
07_2015,RI,410008,300 or more,46
07_2015,RI,410009,300 or more,32
07_2015,RI,410010,300 or more,24
07_2015,RI,410011,300 or more,23
07_2015,RI,410012,300 or more,38
07_2015,RI,410013,300 or more,33
07_2015,SC,420002,300 or more,35
07_2015,SC,420004,300 or more,22
07_2015,SC,420005,300 or more,28
07_2015,SC,420007,300 or more,32
07_2015,SC,420009,300 or more,24
07_2015,SC,420010,300 or more,18
07_2015,SC,420011,Between 100 and 299,27
07_2015,SC,420015,300 or more,20
07_2015,SC,420016,Fewer than 100,26
07_2015,SC,420018,300 or more,23
07_2015,SC,420019,Between 100 and 299,20
07_2015,SC,420020,300 or more,31
07_2015,SC,420023,300 or more,32
07_2015,SC,420026,300 or more,28
07_2015,SC,420027,300 or more,32
07_2015,SC,420030,300 or more,29
07_2015,SC,420033,300 or more,32
07_2015,SC,420036,300 or more,30
07_2015,SC,420037,300 or more,28
07_2015,SC,420038,300 or more,19
07_2015,SC,420039,300 or more,30
07_2015,SC,420043,Between 100 and 299,14
07_2015,SC,420048,300 or more,22
07_2015,SC,420049,300 or more,26
07_2015,SC,420051,300 or more,34
07_2015,SC,420053,300 or more,34
07_2015,SC,420054,Between 100 and 299,24
07_2015,SC,420055,300 or more,30
07_2015,SC,420057,Fewer than 100,40
07_2015,SC,420062,300 or more,30
07_2015,SC,420065,300 or more,32
07_2015,SC,420066,Between 100 and 299,21
07_2015,SC,420067,300 or more,28
07_2015,SC,420068,300 or more,16
07_2015,SC,420069,300 or more,25
07_2015,SC,420070,300 or more,30
07_2015,SC,420071,300 or more,28
07_2015,SC,420072,Between 100 and 299,28
07_2015,SC,420073,300 or more,26
07_2015,SC,420078,300 or more,23
07_2015,SC,420079,300 or more,30
