SURVEY_NAME,QUESTION_ID,QUESTION_TXT,ANSWER_TXT,NUM_RESPONSES,TOTAL_RESPONSES
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","As always, Ohio BWC provided a knowledgeable, friendly auditor to ensure our books are being kept correctly. I appreciate the information I received and the manner in which it was delivered.",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",At first we weren't sure what exactly we needed to provide but we eventually figured it out with the auditors assistance.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Audi was fast and simple. Auditor was very friendly and easy to work with. ,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Audit process was completed on line without any issues.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Audit was concise, friendly, answered all questions and appreciated the in person process.",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Audit was performed virtually so I had no contact with auditor. I sent info and she sent report. very quick and stream lined. ,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Audit was simple and clear.  And it seems we are in compliance.  Very easy experience as far as most audits go!,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Audit was very easy.  Thank you for that, it was much appreciated.",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Audit was very professional and was able to answer all audit questions with ease. ,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Auditor Ed Grau is an enormous asset to BWC.  Professional, efficient, and direct.  Makes the examination process tolerable for the taxpayer.  Ed is a pleasure to work with.",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Auditor Mike was very good, easy to work with . ",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor a pleasure to deal with.  A true professional.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor did a good job on follow up as well.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Auditor had wonderful customer service, quick response time, great follow-up and answered all questions thoroughly.  ",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor is very helpful in explaining everything.  He does an excellent job.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor made excellent suggestions for classification as well as advice for joining a buying group.  She was helpful and engaging.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Auditor made the process easy to understand, was very responsive and kept us informed during all phases of the audit. He was helpful and pleasant to communicate with before, during and after the audit.",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor made this process very easy! I wish all audits were as easy!,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor spent no time at our office other than to pick up a copy of the data provided. I have no idea if an audit was completed or not. I was not witness to any work.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor suggested some really great ideas that will be very helpful to our company.  ,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor very customer-centric!,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor was Very professional and courteous,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Auditor was a bit chatty, but he was super friendly.  He explained his processes and findings very well.",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor was an excellent communicator.  All steps and processes were fully explained.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor was concise and easy to talk to. ,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor was efficient.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor was friendly and explained the reason for audit and the findings very well.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Auditor was incredibly knowledgeable, extremely efficient and more importantly seemed liked a person who cares about his job AND the business. Definitely NOT like the government employees you see in the WIC & food stamp office who are mean, dismissive more concerned about the 'red tape' than serving the taxpayers (Business & personal).  Very refreshing!",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor was neat and professional,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Auditor was polite, friendly, and took the time to explain classifications and address other questions.",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor was professional and explained everything along the process - very helpful.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor was professional and quick.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Auditor was professional, knowledgeable and was very easy to work with.",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Auditor was responsive, thorough and fast. Provided details on reclassifications and explanations of why. Great guy!",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor was very accommodating in scheduling the audit.  Auditor explained why and how changes and reclassification were made.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor was very courteous and clearly explained her findings.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Auditor was very easy to work with and professional. Very smooth process, clear instructions, and clear explanations of findings.",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor was very friendly and easy to work with during this process.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Auditor was very friendly, helpful, and quick to respond to any questions I had. Thank you!",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor was very helpful and professional.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor was very helpful in explanations. Very much appreciated.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor was very helpful.  ,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor was very kind and helpful,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor was very knowledgeable and forthcoming with information and explanations.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor was very patient and explained everything well. ,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor was very personable and kind- I really appreciate that!,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Auditor was very pleasant, cooperative, and patient with me and my inexperience with the audit. She was very helpful.",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor was very polite and easy to speak with.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor was very professional ,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor was very professional and helpful to us.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor was very professional and pleasant to deal with,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Auditor was very professional, understanding, and supportive.  He was respectful of the time and resources required to prepare for and complete an audit.  He answered all questions and provided helpful feedback.",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Auditor was very professional.  I am spread very thin, time wise, so any extra work is a burden.  Other than that all went well.",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Auditor was very responsive, knowledgeable, courteous and enjoyed working with her",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor was very thorough and helpful,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor was very timely ,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditor was willing to answer all of my questions. He wanted to make sure that I understood the WC program.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Auditor's knowledge was excellent, and he offered several suggestions on completing future reports to the BWC.  There were several errors on the true-up report, and he took time to explain each one and how it would be corrected. ",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Auditors were very professional and helpful.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Audits need to be done electronically. Pennsylvania does them via email or document upload. It works well and takes less time. It's 2022!,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Audits should be done this way in the future, too.",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Barb Pesta was exceptional to work with!,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Barb Rizzo was great.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Barb Rizzo was very helpful with the audit and made the process from start to finish seamless.  She explained everything thoroughly for the documentation needed for the audit to ensure the audit went smooth as possible.  She was very responsive to e-mails with any questions we had. ,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Barb did a great job. Appreciate her hard work.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Barb is a very thorough auditor, and she does a great job of explaining things to the employer. She gathers the right amount of information for the audit without seeming like she is interrogating or being obtrusive. She is a pleasure to work with, and I never thought I would say that about an auditor. ",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Barb is always fair and good to work with.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Barb not only completed the audit but answered my questions given my position.  Thank you!,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Barb was extremely easy to work with.  She was very knowledgeable and worked through the audit with us making the process as painless and an audit can be.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Barb was just awesome and gives auditors a GOOD name.  She was very helpful, explained everything and I learned a lot.  She was very concerned for our business and wanted to make sure she got things right.",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Barb was very helpful and comfortable to work with.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Barbara Pesta was extremely helpful and informative, a true professional.  Even after the audit was complete she offered for us to reach out with any questions or assistance moving forward, showing that the audit department wants to work with Ohio Employers.",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Barbara was extremely easy to work with, very professional and knowledgeable in her area of expertise.  ",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Being able to email and then clarify over the phone made the process go very well.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Being new to government accounting, the auditors were very helpful and provided knowledge for upcoming reporting. Excellent team.",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Being new to my position, the auditor was patient with my questions. He was very helpful, along with the auditor that was in training with him.",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Ben Croley was wonderful to work with!!!!  I hope we continue dealing with him in the future!,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Ben Crowley was our auditor and he was extremely pleasant to work with and provided us with excellent information for future reporting.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Ben is a great auditor.  He explains everything and answers any questions we may have.  ,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Ben was really helpful in teaching me the do's and dont's of the calculation and the reasoning behind.  We reviewed the W2 report and I was able to take good notes of what to include and not include.  I am happy to have gone through this process as so many people have done it so many different ways!,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Ben was so patient and friendly.  VERY helpful!,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Ben was very professional and answered all of my questions.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Best auditor I have ever dealt with.  Thank you.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Bob does an excellent job! He is easy to work with as he is knowledgable, professional and responds in a timely manner. ",2,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Both Hazel and Nancy were very pleasant and professional. ,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Both Phyllis and Mary were very professional and flexible with scheduling. I have a soul proprietor and a one-man shop so they were willing to push the audit till after filing deadline appreciate the flexibility,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Brian Hauser is a pleasure to work with, he is very knowledgeable and takes the time to answer questions. ",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Brian Hauser was professional and knowledgeable. He treated me respectfully and took the time to explain every step.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Brian did an excellent job explaining the process and the results of the audit.  He very effectively answered my questions, even though I was not pleased with the outcome of the findings.  The process broke down months ago and quite frankly is something that I have questioned for 5 years.  I now will have a significant true-up payment at the same time I will have a large payment required for 2021-2022 year due to inappropriate methods for calculating our payroll.  ",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Brian did an excellent job in explaining the audit process and the rating inspection.  He was very professional, could answer all of my questions and was very prepared during our conversations.  Appreciate him!",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Brian was very informative and help me understand a lot,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Brian was very nice over the phone and explained all my questions to me so i understood them.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Brian was very personable and knowledgeable!  Answered all my questions thoroughly and offered suggestions pertinent to our business classifications.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Business was sold.  Auditor was extremely helpful with the closing of the account and the disposition of the audit. It has always been a pleasure to work with OBWC staff the last 39 years.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",By far the quickest and easiest audit experience!  Marilyn was great to work with!,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Communication needs to be improved. I was surprised to see an increased premium adjustment as that was not explained to me nor was I notified that it would happen.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Contact to set up the audit was simple and straightforward.  The auditor was excellent in sending a reminder of the audit, responding when documentation was provided, and next day response on audit findings.  The auditor gave me the impression he enjoyed working with me during the audit, and going over information that will help me and my company in the future.  Very professional auditor.",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",DID NOT RECEIVE 1ST NOTIFICATION IN MAIL,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","David Hindley was very knowledgeable & courteous. Professional, yet took the time to answer my questions in a way that I could comprehend. ",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Dawn did a very good job answering questions that I had. She was very knowledgeable, professional and courteous.  ",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Dawn is very nice to work with.  She understand our industry, and is very knowledgeable.  ",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Dawn was amazing. The owner has English as a second language and worked with us to get what he would need to know ahead of time so it was easier on him. Hands down the best experience with any department with the State of Ohio so far. ,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Dawn was great to work with, and very helpful.",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Dawn was very helpful and nice,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Did a very nice job.  She encountered problems with the software and handle it very professionally.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Did not know I had to include elected officials in my payroll reporting, glad I was able t fix this going forward.",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Did not receive a findings report.  Fred Heitzman at 419-689-3538,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Didn't understand it was only a rating inspection as opposed to audit, so time we spent verifying, double checking our compensation reporting, etc. was unnecessary.  Perhaps it said that in the initial letter, but all I recall was 'audit'.  Additional clarity on that would have saved us just a little time of preparation.",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Don't understand why our rate keeping increasing since we have had no claims.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Due to COVID-19 Protocols, the initiation of the audit and completion of audit findings were over an extended period of time.  I do not recall the total amount of time to complete the process.",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Due to the audit being offset, I did not know how long it took the auditor to do the auditor. ",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Easily completed with a very kind and competent representative.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Easy Process.    Auditor was very clear and easily understood her questions.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Ed Grau is an excellent representative for the BWC.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Ed has performed many audits for our clients. He is always professional, knowledgeable, and very easy to communicate with, during all phases of the audit process. ",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Ed was fantastic to work with and made the process smooth and easy. Ed is a standout employee and I wish all my interactions with any agency were as easy as Ed made it.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Ed was great to work with!,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Ed was knowledgeable, efficient and easy to work with.......",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Ed was very clear in explaining issues and was easy to deal eith.,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Edward Grau is a very competent and capable auditor.  Pleasure to work with him.  ,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)","Emailing documents was fast and took a lot less time for Ken and myself, cutting out unnecessary drive time and fuel!  Good idea.",1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Employers should have unfettered access to the definitions that determine the class codes. These class codes paint with too big of a brush! ,1,858
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148552,"Miscellaneous Comments (e.g., individuals particularly noteworthy, suggestions for improvements, etc..)",Ensure initial documentation is correct.,1,858
